,Unnamed: 0,Area_code,State,Market,Market_size,Profit,Margin,Sales,COGS,Total_expenses,Marketing,Inventory,Budget_profit,Budget_COGS,Budget_margin,Budget_sales,Product_ID,Date,Product_type,Product,Type
0,0,203,connecticut,east,small market,107,176,292,116,69,38,962,110,110,160,270,2,2010-01-04,0,columbian,0
1,1,203,connecticut,east,small market,75,135,225,90,60,29,1148,90,80,130,210,2,2010-01-07,0,columbian,0
2,2,203,connecticut,east,small market,122,195,325,130,73,42,1134,130,110,180,290,2,2010-01-11,0,columbian,0
3,3,203,connecticut,east,small market,105,174,289,115,69,37,1166,110,100,160,260,2,2010-01-12,0,columbian,0
4,4,203,connecticut,east,small market,104,135,223,90,56,29,1148,90,80,130,210,2,2011-01-07,0,columbian,0
5,5,203,connecticut,east,small market,104,135,223,90,56,29,1139,90,80,130,210,2,2011-01-08,0,columbian,0
6,6,203,connecticut,east,small market,135,155,275,103,64,33,1130,110,90,150,240,2,2011-01-09,0,columbian,0
7,7,203,connecticut,east,small market,171,188,334,125,73,41,1119,130,100,160,260,2,2011-01-10,0,columbian,0
8,8,203,connecticut,east,small market,181,195,346,130,73,42,1134,130,110,180,290,2,2011-01-11,0,columbian,0
9,9,203,connecticut,east,small market,15,31,51,20,16,5,804,20,20,30,50,13,2010-01-06,1,green tea,0
10,10,203,connecticut,east,small market,33,54,90,36,21,10,809,40,30,60,90,13,2010-01-11,1,green tea,0
11,11,203,connecticut,east,small market,17,28,47,19,15,5,811,20,20,30,50,13,2011-01-08,1,green tea,0
12,12,203,connecticut,east,small market,27,36,64,24,18,6,806,40,20,40,60,13,2011-01-10,1,green tea,0
13,13,203,connecticut,east,small market,49,54,96,36,21,10,809,40,30,60,90,13,2011-01-11,1,green tea,0
14,14,203,connecticut,east,small market,40,75,128,53,77,48,597,10,50,70,120,5,2010-01-06,2,caffe mocha,0
15,15,203,connecticut,east,small market,1,84,144,60,83,54,606,40,40,90,130,5,2010-01-10,2,caffe mocha,0
16,16,203,connecticut,east,small market,2,86,147,61,84,55,613,10,60,80,140,5,2010-01-11,2,caffe mocha,0
17,17,203,connecticut,east,small market,11,105,201,75,103,68,522,20,70,100,170,5,2011-01-01,2,caffe mocha,0
18,18,203,connecticut,east,small market,4,90,165,65,87,58,513,20,60,90,150,5,2011-01-02,2,caffe mocha,0
19,19,203,connecticut,east,small market,0,87,160,63,87,57,506,10,60,80,140,5,2011-01-03,2,caffe mocha,0
20,20,203,connecticut,east,small market,0,87,160,63,87,57,521,10,60,80,140,5,2011-01-04,2,caffe mocha,0
21,21,203,connecticut,east,small market,4,90,153,64,81,58,551,20,60,90,150,5,2011-01-05,2,caffe mocha,0
22,22,203,connecticut,east,small market,3,87,159,62,85,56,612,20,50,90,140,5,2011-01-09,2,caffe mocha,0
23,23,203,connecticut,east,small market,40,76,140,55,78,49,627,10,50,70,120,5,2011-01-12,2,caffe mocha,0
24,24,203,connecticut,east,small market,29,75,130,55,46,18,305,40,50,70,120,6,2010-01-02,2,decaf espresso,1
25,25,203,connecticut,east,small market,22,65,113,48,43,15,334,40,40,70,110,6,2010-01-05,2,decaf espresso,1
